,ตัวอย่างข้อมูลแพ็คเกจ,,,,,,,,,,,,
No,Product Code,Name,destination,duration,price,description,,,Uni,Image Uni,availableDates,imageUrl,reviews
5,HIT1M2025,"เรียนจีน 1 เดือน Harbin Institute of technology""","Harbin, China ",30 Days,"ห้องคู่ 49,990",โครงการเรียนต่อภาษาจีนกับ มหาวิทยาลัยเทคโนโลยีฮาร์บิน หนึ่งในมหาวิทยาลัยชั้นนำของประเทศจีน มีชื่อเสียงในด้านการวิจัยและการศึกษาในสาขาวิทยาศาสตร์และเทคโนโลยี ก่อตั้งขึ้นในปี 1920 และเป็นหนึ่งในมหาวิทยาลัยกลุ่ม C9 League ด้วยการเรียนการสอนเป็นแบบการพูด ฟัง อ่าน และการเขียน  พร้อมเปิดประสบการณ์เรียนมหาวิทยาลัยดัง Top 10 ของประเทศจีน Harbin Institute of Technology มหาวิทยาลัยชื่อดังของจีน,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1eza5RrOHM98S1QALrPPzMr4i4Oi8vljn/view?usp=drivesdk,หนูไปเป็นเด็กคอร์ส 1 เดือนค่ะ เป็นการเรียนแบบพื้นฐาน แต่พวกหนูมีพื้นฐานอยู่แล้ว ก็สามารถบอกเหล่าชือได้ เหล่าชือจะปรับการสอนให้เข้ากับพื้นฐานของเรา พี่ๆทางโครงการให้คำปรึกษาตลอดค่ะ ไม่ว่าจะเป็นเรื่องเรียน เรื่องการท่องเที่ยว เรื่องที่พัก สภาพแวดล้อมที่ฮาร์บินไม่ค่อยวุ่นวายค่ะ ไม่อันตราย รถสาธารณะราคาไม่แพง เป็นเมืองที่ใช้ชีวิตง่าย
6,HIT2M2025,"เรียนจีน 2 เดือน Harbin Institute of technology""","Harbin, China ",60 Days,"ห้องคู่ 55,990",โครงการเรียนต่อภาษาจีนกับ มหาวิทยาลัยเทคโนโลยีฮาร์บิน หนึ่งในมหาวิทยาลัยชั้นนำของประเทศจีน มีชื่อเสียงในด้านการวิจัยและการศึกษาในสาขาวิทยาศาสตร์และเทคโนโลยี ก่อตั้งขึ้นในปี 1920 และเป็นหนึ่งในมหาวิทยาลัยกลุ่ม C9 League ด้วยการเรียนการสอนเป็นแบบการพูด ฟัง อ่าน และการเขียน  พร้อมเปิดประสบการณ์เรียนมหาวิทยาลัยดัง Top 10 ของประเทศจีน Harbin Institute of Technology มหาวิทยาลัยชื่อดังของจีน,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1TKJLrw8YyABhQmJkUpfkEdXVjo61Of4E/view?usp=share_link,ไปจีนครั้งนี้สนุกมากกก เพื่อนทุกคนช่วยกันเรียน เหล่าซือน่ารักทุกคนเลย ใจดีมาก ๆ เหล่าซือสอนแล้วอธิบายและแตกคำศัพท์เยอะมาก ๆ ได้ความรู้เต็ม ๆ วิชาวัฒนธรรมจีนก็สนุกมากค่ะ กินอาหารท้องถิ่นและเรียนดนตรีจีน ได้เพื่อนเพิ่มเยอะเลย คนจีนใจดีกับเรามากค่ะ และพี่ ๆ ในโครงการคอยช่วยเหลือและดูแลตลอดเลยค่ะ เป็นโครงการที่อบอุ่นมากค่ะ
7,HIT3M2025,เรียนจีน 3 เดือน Harbin Institute of technology,"Harbin, China ",90 Days,"ห้องคู่ 79,990",โครงการเรียนต่อภาษาจีนกับ มหาวิทยาลัยเทคโนโลยีฮาร์บิน หนึ่งในมหาวิทยาลัยชั้นนำของประเทศจีน มีชื่อเสียงในด้านการวิจัยและการศึกษาในสาขาวิทยาศาสตร์และเทคโนโลยี ก่อตั้งขึ้นในปี 1920 และเป็นหนึ่งในมหาวิทยาลัยกลุ่ม C9 League ด้วยการเรียนการสอนเป็นแบบการพูด ฟัง อ่าน และการเขียน  พร้อมเปิดประสบการณ์เรียนมหาวิทยาลัยดัง Top 10 ของประเทศจีน Harbin Institute of Technology มหาวิทยาลัยชื่อดังของจีน,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1IwB6w_L1f_sE5pEVlf2cscegSW2JvXB7/view?usp=sharing,หนูไปเรียน 3 เดือนค่ะ เรื่องการเรียนรู้สึกว่าการเรียนการสอนโอเคดี เหล่าซือแต่ละคนที่สอนใจดีมากๆค่ะ ใจดีแบบใจดีจริงๆ มีเรียนทั้งภาคเช้าและบ่ายและได้เรียนวัฒนธรรมด้วยค่ะ เหล่าซือดูแลเอาใจใส่ดีมากๆค่ะ ส่วนเรื่องโครงการ โครงการดูแลดีค่ะ พร้อมช่วยเหลือตลอด ปรึกษาได้ตลอดเวลา
8,HITJULY2025,เรียนจีน เที่ยวจีน เดือนกรกฎาคม Harbin Institute of technology,"Harbin, China ",27 Days,"ห้องคู่ 53,990",เรียนภาษาจีนกับมหาวิทยาลัย HIT พร้อมการเรียนการสอนแบบ พูด ฟัง อ่าน และเขียน พร้อมเปิดประสบการณ์เที่ยวสถานที่ดังเมืองฮาร์บิน ชมเมืองหิมะเมืองหนาว ฉลองปีใหม่กับเมืองหิมะ – แม่น้ำซงฮวาเจียง – ถนนคนเดินจงหยาง – เมืองเก่าฮาร์บิน – สวนสาธารณะดนตรี – นั่งกระเช้าข้ามแม่น้ำซงหัว – พิพิธภัณฑ์เฮยหลงเจียง,Harbin Summer Camp in July 2025.pdf,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,,Harbin Summer Camp Banner.png,รู้สึกว่าค่อนข้างสะดวกในระดับนึงเลยค่ะ อาบน้ำอุ่นสบายมากพี่ในโครงการคุยง่าย เฟรนด์ลี่มากเลยค่ะ คุยด้วยแล้วสบายใจ เรียนไม่ได้หนัก เหล่าซือใจดีค่ะ!
9,HITWINTER2025,"""เรียนจีน เที่ยวจีน ตะลุยเมืองหิมะ (ธันวาคม) Harbin Institute of technology","Harbin, China ",27 Days,"ห้องคู่ 55,900",เรียนภาษาจีนกับมหาวิทยาลัย HIT พร้อมการเรียนการสอนแบบ พูด ฟัง อ่าน และเขียน พร้อมเปิดประสบการณ์เที่ยวสถานที่ดังเมืองฮาร์บิน ชมเมืองหิมะเมืองหนาว ฉลองปีใหม่กับเมืองหิมะ – แม่น้ำซงฮวาเจียง – ถนนคนเดินจงหยาง – เมืองเก่าฮาร์บิน – สวนสาธารณะดนตรี – นั่งกระเช้าข้ามแม่น้ำซงหัว – พิพิธภัณฑ์เฮยหลงเจียง,https://drive.google.com/file/d/1qhXAPpOTOOKV8BzzVyEN_xbpF5mu_ZZC/view?usp=share_link,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1I9NDKXAKOEOxZnIJV02LvydaSdTEjiZt/view?usp=drivesdk,
10,HRBNU2W2025,"""เรียนจีน 2 สัปดาห์ Harbin Normal University""","Harbin, China ",14 Days,"ห้องคู่ 39,990 ห้องเดี่ยว 41,900",Harbin Normal University มหาวิทยาลัยใจกลางเมืองฮาร์บิน เป็นมหาวิทยาลัยที่มีชื่อเสียงในฮาร์บิน ประเทศจีน มหาวิทยาลัยนี้มีบทบาทสำคัญในการผลิตครูและบุคลากรทางการศึกษาที่มีคุณภาพสูง,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Normal University,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1Jr-pixB-ilizpHJyG1U0Cw0y4_azfGfW/view?usp=share_link,ไปเรียนภาษาจีนครั้งนี้ รู้สึกว่าได้ศัพท์ที่ใช้ในชีวิตประจำวันเยอะมากๆ ที่นี่จะสอนแบบบรรยายจีนล้วน ควรมีพื้นฐานภาษาไปนิดนึงก็ดี ถ้าไปแบบกลางเทอมนะ แต่เหล่าซือที่นี่ก็น่ารักสุดๆ สอนแบบค่อยๆไป เพราะเราอยู่คลาสA มีเรียกให้อ่านบ้างนิดหน่อย คำไหนอ่านไม่ออกเหล่าซือก็คอยบอกตลอด ไม่ต้องกลัวจะอ่านผิดเลย สุดท้ายนี้ขอบคุณต๋ง สตาฟที่ดูแลที่จีน ดูแลเราดีมากๆ แบบเราขอความช่วยเหลือไปกี่ครั้งก็ช่วยเหลือตลอด ขอบคุณมากๆเลย
11,HRBNU3W2025,"""เรียนจีน 3 สัปดาห์  Harbin Normal University""","Harbin, China ",21 Days,"ห้องคู่ 41,900 ห้องเดี่ยว 45,990",Harbin Normal University มหาวิทยาลัยใจกลางเมืองฮาร์บิน เป็นมหาวิทยาลัยที่มีชื่อเสียงในฮาร์บิน ประเทศจีน มหาวิทยาลัยนี้มีบทบาทสำคัญในการผลิตครูและบุคลากรทางการศึกษาที่มีคุณภาพสูง,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Normal University,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1kPOmj6wtID1B6GlCEKY-eP-cWpozNMKG/view?usp=sharing,
12,HRBNU1M2025,"""เรียนจีน 1 เดือน Harbin Normal University""","Harbin, China ",30 Days,"ห้องคู่ 47,990 ห้องเดี่ยว 50,990",Harbin Normal University มหาวิทยาลัยใจกลางเมืองฮาร์บิน เป็นมหาวิทยาลัยที่มีชื่อเสียงในฮาร์บิน ประเทศจีน มหาวิทยาลัยนี้มีบทบาทสำคัญในการผลิตครูและบุคลากรทางการศึกษาที่มีคุณภาพสูง,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Normal University,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1LkpJ4YT7iinEDF2uKBFL_p9osbt-A_qX/view?usp=share_link,พี่ๆในโครงการเป็นกันเองและเฟรนลี่มากๆค่ะ พี่ๆดูแลดีมากๆ ดูแลแบบดีสุดๆเลยค่ะ ดูแลทุกอย่างช่วยทุกอย่างเลยค่ะ มีปัญหาอะไรทักหาให้พี่ๆช่วยพี่ๆก็พร้อมช่วยเสมอเลยค่ะ และรู้สึกปลอดภัยมากๆ ค่ะไม่รู้สึกกลัวอะไรเลย เป็นโครงการที่รู้สึกว่าถ้ามีโอกาสจะไปกับโครงการนี้อีกครั้งแน่นอนค่ะ
13,HRBNU2M2025,"""เรียนจีน 2 เดือน Harbin Normal University""","Harbin, China ",2 เดือน,"ห้องคู่ 62,990 ห้องเดี่ยว 65,990",Harbin Normal University มหาวิทยาลัยใจกลางเมืองฮาร์บิน เป็นมหาวิทยาลัยที่มีชื่อเสียงในฮาร์บิน ประเทศจีน มหาวิทยาลัยนี้มีบทบาทสำคัญในการผลิตครูและบุคลากรทางการศึกษาที่มีคุณภาพสูง,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Normal University,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1GM8r-fUSnQXCQJEJsk_mofwY06XgUpPK/view?usp=share_link,ไปเรียนที่จีนรู้สึกว่าเปิดประสบการณ์หลายอย่างมาก การได้คุยกับคนจีนฝึกภาษากับคนจีนตรงๆเรียนรู้และเข้าใจมากขึ้นเหล่าซือใจดีมากตรงไหนไม่เข้าใจก็อธิบายให้ฟัง ส่วนหอพักในห้องมี อุปกรณ์ให้ใช้สะดวกมาก ถ้าอยากทํากับข้าวในหอพักก็มีครัวกลางให้ บรรยากาศในมหาลัยดีมากตอนช่วงที่ไปอากาศกําลังสบายอยากไปไหนหน้ามหาลัยก็มีรถไฟฟ้าใต้ดินสะดวกต่อการเดินทาง มีพี่ๆพาไปชมสถานที่ท่องเที่ยวแนะนําสถานที่เที่ยวสวยๆ ให้คําปรึกษาตลอด
14,HRBNU3M2025,"""เรียนจีน 3 เดือน Harbin Normal University""","Harbin, China ",3 เดือน,"ห้องคู่ 79,990 ห้องเดี่ยว 89,990",Harbin Normal University มหาวิทยาลัยใจกลางเมืองฮาร์บิน เป็นมหาวิทยาลัยที่มีชื่อเสียงในฮาร์บิน ประเทศจีน มหาวิทยาลัยนี้มีบทบาทสำคัญในการผลิตครูและบุคลากรทางการศึกษาที่มีคุณภาพสูง,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Normal University,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1c8jNnHXIF1LKaL3KnUozp9CTvFFKzE_t/view?usp=share_link,"พี่ๆในโครงการดูแลดีมากๆค่อนข้างเป็นกันเองเวลามีปัญหาอะไรพี่ๆทีมงานก็จะหาวิธีแก้ปัญหาให้เร็วมากๆ และเวลาเรียนก้ไม่เครียดเพราะว่าตารางสอนค่อนข้างจัดเวลาต่างๆได้ดี เป็นฟิลแบบไปเรียนแล้วก็ไปเที่ยวในตัวทำให้รู้สึกผ่อนคลายไม่เครียด คนที่ฮาร์บินก็น่ารักมาก เหล่าซือสอนสนุกเป็นกันเองมากๆ น่ารักมากคับ 
"
15,HRBNU1Y2025,เรียนจีนระยะยาว 1 ปี (HRBNU) Harbin Normal University,"Harbin, China",,"เริ่มต้น ห้องคู่ 149,990 ห้องเดี่ยว 179,990",Harbin Normal University มหาวิทยาลัยใจกลางเมืองฮาร์บิน เป็นมหาวิทยาลัยที่มีชื่อเสียงในฮาร์บิน ประเทศจีน มหาวิทยาลัยนี้มีบทบาทสำคัญในการผลิตครูและบุคลากรทางการศึกษาที่มีคุณภาพสูง,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Normal University,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1IFA6QULXbdBTLaCcmju3lD8oZ6CnNwge/view?usp=share_link,ได้ลองไปใช้ชีวิตที่ต่างประเทศครั้งแรกเปิดโลกมากเลยค่ะที่นู่นต่างจากที่ไทยมากอากาศดีสุดๆ เรื่องเรียนเรียนไม่ค่อยหนักเลยค่ะเรียนกับครูเจ้าของภาษาเลย ครูแต่ละคนใจดีมากเลยค่ะ ถ้ามีโอกาสก็จะไปอีกแน่นอนค่ะ
16,HIT1Y2025,เรียนจีนระยะยาว 1 ปี (HIT) Harbin Institute of technology,"Harbin, China",1Year,"เริ่มต้น 179,990",โครงการเรียนต่อภาษาจีนกับ มหาวิทยาลัยเทคโนโลยีฮาร์บิน หนึ่งในมหาวิทยาลัยชั้นนำของประเทศจีน มีชื่อเสียงในด้านการวิจัยและการศึกษาในสาขาวิทยาศาสตร์และเทคโนโลยี ก่อตั้งขึ้นในปี 1920 และเป็นหนึ่งในมหาวิทยาลัยกลุ่ม C9 League ด้วยการเรียนการสอนเป็นแบบการพูด ฟัง อ่าน และการเขียน  พร้อมเปิดประสบการณ์เรียนมหาวิทยาลัยดัง Top 10 ของประเทศจีน Harbin Institute of Technology มหาวิทยาลัยชื่อดังของจีน,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1sq1Y80DhI3J7a-Wd1rZTAfxQB0AKlYpq/view?usp=share_link,
17,HRBNU1S2025,เรียนภาษาจีน 1 เทอม (HRBNU) Harbin Normal University,"Harbin, China",1 เทอมการศึกษา,"ห้องคู่ 99,990 ห้องเดี่ยว 109,990",Harbin Normal University มหาวิทยาลัยใจกลางเมืองฮาร์บิน เป็นมหาวิทยาลัยที่มีชื่อเสียงในฮาร์บิน ประเทศจีน มหาวิทยาลัยนี้มีบทบาทสำคัญในการผลิตครูและบุคลากรทางการศึกษาที่มีคุณภาพสูง,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Normal University,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1DJcfo4MlBYkAel9s9bpmKOjNtfAEKyql/view?usp=sharing,
18,HIT1S2025,เรียนภาษาจีน 1 เทอม (HIT) Harbin Institute of technology,"Harbin, China",1 ปีการศึกษา,ห้องเดี่ยว 99990,"เรียนกับมหาวิทยาลัยชื่อดัง Harbin Institute of Technology !! Top 10 ของประเทศจีน 
พร้อมกิจกรรมเรียนวัฒนธรรมจีน มอบทั้งความรู้และประสบการณ์ประเทศจีน 🇨🇳",ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1V1tFL34DJJBd2SPs_7zcCa2Bx7twR8AK/view?usp=share_link,
19,HITSUMMER2025,เรียนจีน เที่ยวจีน พร้อมศึกษาวัฒนธรรมจีน (เมษายน) Harbin Institute of technology,"Harbin, China",21Days,"ห้องคู่ 55,990","เรียนกับมหาวิทยาลัยชื่อดัง Harbin Institute of Technology !! Top 10 ของประเทศจีน พร้อมทัศนศึกษา 10 สถานที่ดังเมืองฮาร์บิน
พร้อมกิจกรรมเรียนวัฒนธรรมจีน มอบทั้งความรู้และประสบการณ์ประเทศจีน 🇨🇳",https://drive.google.com/file/d/1VWmYkHy0pizHYwGRQkCkCQd4f0zXBbAA/view?usp=share_link,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,2025/3/23 - 2025/4/12,https://drive.google.com/file/d/1bAoCBF5NycUWf1IxS_1kaf7cSKg6S4FK/view?usp=share_linkhttps://drive.google.com/file/d/1bAoCBF5NycUWf1IxS_1kaf7cSKg6S4FK/view?usp=share_link,
